layer,log_stock,NDSI
0-20,,5.86795
0-20,,8.7215595
0-20,0.99997988,15.3852997
0-20,1.20370413,18.2049007
0-20,,3.5718701
0-20,0.739225312,6.0605402
0-20,0.316738754,10.6000996
0-20,0.938904966,9.1288099
0-20,0.628922061,14.6784
0-20,1.272180948,16.5622005
0-20,0.769397923,13.8015003
0-20,0.72437092,16.5746002
0-20,,11.0702
0-20,,13.8523998
0-20,0.979047433,10.6652002
0-20,0.217728153,6.8610601
0-20,0.727514839,13.7524004
0-20,,9.9026003
0-20,,7.6476402
0-20,1.064318982,14.6784
0-20,,10.9489002
0-20,0.685170018,9.28374
0-20,0.979829241,14.5531998
0-20,1.131027402,11.1245003
0-20,0.454579643,13.1906004
0-20,0.675663532,16.1422005
0-20,1.099265531,19.2936001
0-20,1.028620311,11.0254002
0-20,,12.3333998
0-20,0.722255861,9.8246698
0-20,0.794661075,15.1033001
0-20,0.733651492,7.4878702
0-20,0.920738135,13.8786001
0-20,,9.7543297
0-20,1.131027402,11.1245003
0-20,0.652708399,4.5121598
0-20,1.359100028,6.44315
0-20,,7.7747102
0-20,,10.4021997
0-20,0.995176933,8.3305101
0-20,0.227284086,7.6163702
0-20,0.866417559,3.61394
0-20,0.511216254,7.57336
0-20,0.947404151,8.3305101
0-20,1.077987228,10.6859999
0-20,1.302940311,5.9605398
0-20,1.298082736,11.5958996
0-20,,6.6403999
0-20,0.738545133,11.1855001
0-20,1.103287691,7.7747102
0-20,,6.9726901
0-20,0.315400434,13.3978996
0-20,1.231703698,14.2004004
0-20,0.520782835,2.68453
0-20,0.368875537,1.79821
0-20,0.452238394,5.2774501
0-20,0.783757712,4.1897998
0-20,,6.84797
0-20,,4.7849002
0-20,,0.789508
0-20,0.670917097,2.9588201
0-20,,2.5541
0-20,0.717859636,9.9042597
0-20,,3.1006501
0-20,,3.1006501
0-20,-0.095652281,0.957
0-20,-0.449927789,1.36589
0-20,0.573210943,2.0491099
0-20,,13.3121996
0-20,,1.21435
0-20,,3.1006501
0-20,,4.5897698
0-20,,5.2574
0-20,,6.1285501
0-20,0.914722239,0.836051
0-20,0.438947787,0.905568
0-20,0.497205539,7.1441002
0-20,,1.09229
0-20,0.362909114,5.0243902
0-20,0.719169726,9.9042597
0-20,0.589978094,0.717643
0-20,0.380882485,3.4782701
0-20,0.335124995,0.980552
0-20,,1.21435
0-20,0.350432414,3.56532
0-20,-0.044751014,3.17504
0-20,,1.69329
0-20,0.353590933,2.6170299
0-20,-0.024776168,1.82436
0-20,0.841135815,0.800079
0-20,0.775083924,0.980552
0-20,2.03537754,11.8238001
0-20,1.942510055,16.6910992
0-20,1.863284783,11.8238001
0-20,1.860989259,6.4522901
0-20,1.010206641,23.2823009
0-20,1.344917433,10.4316998
20-40,1.303860603,10.4316998
0-20,1.297243897,6.6303
20-40,1.192786497,6.6303
0-20,1.178734135,14.4966002
20-40,1.1551714,14.4966002
0-20,2.017710978,18.3852997
20-40,2.031395859,18.3852997
0-20,1.799059201,23.7320004
20-40,1.15807528,23.7320004
0-20,1.871618114,13.6177998
0-20,2.015530338,13.6177998
0-20,1.280027168,2.34165
0-20,1.033346541,2.34165
20-40,0.945244585,2.34165
0-20,1.848227998,9.0860205
0-20,1.510475732,9.0860205
20-40,1.387603561,9.0860205
0-20,,7.57055
20-40,,7.57055
0-20,1.14850394,15.8376999
0-20,1.14690287,15.8376999
20-40,1.086156163,15.8376999
20-40,0.942142043,15.8376999
0-20,1.082785087,11.0199003
20-40,1.245060268,11.0199003
0-20,0.981770601,17.1676998
0-20,1.011824096,17.1676998
0-20,0.949202585,17.1676998
0-20,0.991443169,17.1676998
0-20,0.804570104,17.1676998
0-20,0.805084715,17.1676998
0-20,1.360029639,9.8579197
0-20,1.246260195,9.8579197
20-40,1.267113506,9.8579197
0-20,1.095674165,9.8579197
0-20,1.009454295,9.8579197
20-40,0.544028336,9.8579197
0-20,1.079745462,9.8579197
0-20,0.984847628,9.8579197
20-40,0.988929777,9.8579197
0-20,1.314440279,13.2115002
0-20,1.376248375,13.2115002
0-20,1.500949647,13.2115002
0-20,1.493474781,13.2115002
0-20,1.297436584,13.2115002
0-20,1.146580707,13.2115002
0-20,1.45805437,13.2115002
0-20,1.396706948,14.3590002
0-20,1.380580235,14.3590002
0-20,1.035602621,14.1492004
0-20,0.944632675,14.1492004
0-20,1.007597583,14.1492004
0-20,1.269527887,14.1652002
0-20,0.714825813,14.1652002
20-40,0.678951547,14.1652002
0-20,1.320649693,14.1652002
0-20,0.808750972,14.1652002
20-40,0.377634034,14.1652002
0-20,1.160955676,14.1652002
0-20,1.048323697,14.1652002
20-40,0.52376207,14.1652002
0-20,2.168521054,9.6195602
20-40,2.141161193,9.6195602
0-20,1.947869758,10.4305
20-40,1.999099208,7.8606701
0-20,1.948991639,9.80093
20-40,1.900397719,9.80093
0-20,1.906020253,6.0301099
20-40,1.767636664,6.0301099
0-20,1.808605239,14.0052996
20-40,1.69592625,14.0052996
0-20,2.001106908,14.5621996
20-40,2.074939985,14.5621996
0-20,2.001683532,10.1548004
20-40,2.053700614,10.1548004
0-20,1.999661987,7.3365502
20-40,2.05085208,7.3365502
0-20,1.979113863,7.3643098
20-40,2.015931172,7.3643098
0-20,0.902002891,7.9904299
0-20,0.915682589,7.9904299
0-20,0.886980018,7.9904299
0-20,0.969321774,7.9904299
0-20,0.887878249,7.9904299
