layer,log_stock,pH
0-20,0.99490813,5.13
0-20,1.011933965,5.43
0-20,0.927733663,5.64
20-40,0.557006452,6.2
0-20,1.324305096,6.6999998
0-20,0.990791564,6.6999998
0-20,0.765482282,6.6999998
0-20,1.190970062,5.15
0-20,0.648798963,4.65
20-40,0.570356106,4.53
0-20,1.253118864,3.82
0-20,0.548023154,3.88
20-40,0.23363058,3.94
0-20,0.872076985,6.6999998
0-20,0.644271142,6.6999998
20-40,0.392352194,7.0999999
20-40,0.380374072,7.0999999
0-20,1.06483222,6.6999998
0-20,0.928178651,6.6999998
20-40,0.336475744,7.0999999
20-40,0.560064522,7.0999999
0-20,0.900552825,6.6999998
0-20,1.035992955,6.6999998
20-40,1.161269751,7.0999999
20-40,1.242474838,7.0999999
0-20,1.039334789,5.7
0-20,1.854073951,6.6999998
0-20,1.772131661,6.6999998
0-20,1.732941108,6.6999998
20-40,0.447201459,7.0999999
20-40,0.067160162,7.0999999
0-20,1.253764335,6.6999998
20-40,0.479143248,7.0999999
0-20,,5.9
0-20,,4.4
0-20,1.650268543,5.9
0-20,1.384575613,5.4
0-20,1.171129437,5.3
0-20,1.086188505,5.4
0-20,0.780921878,5.4
0-20,0.557652966,5.6
0-20,0.357784692,5.6
0-20,1.608329166,5.1
0-20,1.398148626,5.1
0-20,1.313900951,5.2
0-20,1.207688532,5.3
0-20,1.136872327,5.3
0-20,0.988488137,5.6
0-20,1.004046599,5.6
0-20,1.174582745,5.82
0-20,1.011621686,5.55
0-20,1.168521054,6
0-20,1.039492966,6
0-20,1.140608964,6
0-20,1.037140002,6
20-40,0.86890294,5.91
20-40,0.879898324,5.71
20-40,0.851869601,6
20-40,0.86890294,6
20-40,0.911306789,6
20-40,0.906227263,6
20-40,-0.02974613,6.7
20-40,0.131105162,6.6
20-40,-0.015022874,8.3
20-40,0.17995373,7.9
0-20,,4.5
0-20,,4.5
0-20,,4.74
0-20,1.779856039,5.7
0-20,1.574411102,5.3
0-20,1.349238893,5.1
0-20,1.158820316,5.1
0-20,0.635645757,5.1
0-20,0.352103018,5
0-20,0.152532948,4.9
20-40,-0.000782434,6.2
20-40,-0.000782434,6.2
