layer,log_stock,MBC,log_MBC
20-40,1.258301976,0.023867999,-1.622183984
20-40,1.145631415,0.015912,-1.798275243
0-20,0.792593379,0.031381633,-1.503324464
0-20,0.416593914,0.051975829,-1.284198572
20-40,0.241506635,0.06178259,-1.209133892
20-40,0.39814842,0.063743942,-1.195561085
0-20,0.637393654,0.046091773,-1.336376584
0-20,0.416314248,0.055408195,-1.256425994
20-40,0.305351369,0.061292252,-1.212594425
20-40,0.377626753,0.060801914,-1.216082752
0-20,0.801176015,0.072418639,-1.140149643
0-20,0.940941554,0.074956468,-1.125190884
0-20,1.030798763,0.034769289,-1.458804191
0-20,1.61979524,0.074956468,-1.125190884
0-20,0.706046161,0.080681607,-1.093225458
0-20,1.163703614,0.073200365,-1.135486755
0-20,1.20370413,0.086962728,-1.060666846
0-20,0.534491376,0.073200365,-1.135486755
0-20,1.211599963,0.078771796,-1.103629255
0-20,0.99997988,0.068396332,-1.164967188
0-20,1.20370413,0.086962728,-1.060666846
0-20,0.739225312,0.094525599,-1.024450563
0-20,0.316738754,0.110540424,-0.956478875
0-20,0.938904966,0.088679235,-1.052178061
0-20,0.628922061,0.081366318,-1.089555334
0-20,1.272180948,0.070159696,-1.1539123
0-20,0.769397923,0.068381024,-1.165064397
0-20,0.72437092,0.063434753,-1.197672747
0-20,0.979047433,0.083176,-1.080001969
0-20,0.217728153,0.072765628,-1.138073718
0-20,0.727514839,0.079260811,-1.100941488
0-20,1.064318982,0.081366318,-1.089555334
0-20,0.685170018,0.066485776,-1.17727126
0-20,0.979829241,0.08223857,-1.084924448
0-20,1.131027402,0.07548579,-1.122134797
0-20,0.454579643,0.063606316,-1.196499754
0-20,0.675663532,0.084117278,-1.07511479
0-20,1.099265531,0.089808178,-1.046684116
0-20,1.028620311,0.06650019,-1.177177114
0-20,0.722255861,0.11082871,-0.95534772
0-20,0.794661075,0.088374645,-1.05367232
0-20,0.733651492,0.070760254,-1.150210619
0-20,0.920738135,0.091753245,-1.037378567
0-20,1.131027402,0.07548579,-1.122134797
0-20,0.652708399,0.073580669,-1.133236268
0-20,1.359100028,0.066178688,-1.179281845
0-20,0.995176933,0.082389235,-1.084129529
0-20,0.227284086,0.046184906,-1.335499939
0-20,0.866417559,0.065922464,-1.180966569
0-20,0.511216254,0.095245994,-1.02115328
0-20,0.947404151,0.082389235,-1.084129529
0-20,1.077987228,0.09535788,-1.020643414
0-20,1.302940311,0.097099544,-1.012782808
0-20,1.298082736,0.061501694,-1.211112918
0-20,0.738545133,0.096776309,-1.014230944
0-20,1.103287691,0.06666992,-1.176070065
0-20,0.315400434,0.075886743,-1.119834085
0-20,1.231703698,0.087745057,-1.056777338
0-20,0.520782835,0.082178836,-1.085240013
0-20,0.368875537,0.085387309,-1.068606675
0-20,0.452238394,0.098617728,-1.006045008
0-20,0.783757712,0.097151937,-1.012548536
0-20,0.670917097,0.066776712,-1.175374969
0-20,0.717859636,0.060234673,-1.220153442
0-20,-0.095652281,0.074362959,-1.128643335
0-20,-0.449927789,0.072852609,-1.137554891
0-20,0.914722239,0.050690177,-1.295076192
0-20,0.438947787,0.062329095,-1.205309179
0-20,0.497205539,0.100277994,-0.998794361
0-20,0.362909114,0.039277769,-1.405853193
0-20,0.719169726,0.060234673,-1.220153442
0-20,0.589978094,0.056519558,-1.247801246
0-20,0.380882485,0.105971848,-0.974809492
0-20,0.335124995,0.098245361,-1.007687947
0-20,0.350432414,0.036707939,-1.435239993
0-20,-0.044751014,0.044403227,-1.352585466
0-20,0.353590933,0.057189406,-1.242684415
0-20,-0.024776168,0.053704354,-1.269990501
0-20,0.841135815,0.101182868,-0.994893013
0-20,0.775083924,0.098245361,-1.007687947
0-20,2.03537754,0.05248524,-1.279962813
0-20,1.942510055,0.06098488,-1.214777826
0-20,1.863284783,1.1565312,0.063157353
0-20,1.860989259,0.7443512,-0.128222107
0-20,1.010206641,0.6031846,-0.219549755
0-20,1.344917433,0.083887362,-1.07630346
20-40,1.303860603,0.103536655,-0.984905872
0-20,1.297243897,0.083066283,-1.080575221
20-40,1.192786497,0.086212727,-1.064428618
0-20,1.178734135,0.089044642,-1.050392209
20-40,1.1551714,0.109901945,-0.958994621
0-20,2.017710978,0.075088094,-1.124428917
20-40,2.031395859,0.080161614,-1.096033545
0-20,1.799059201,0.098135985,-1.008171715
