Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Seasonal frozen ground,Grassland,AM,0.511412732,3.24648,YC
Seasonal frozen ground,Grassland,AM,0.583896713,3.83616,YC
Seasonal frozen ground,Grassland,AM,0.415260555,2.60172,HWC
Seasonal frozen ground,Grassland,AM,0.426472222,2.66976,HWC
Seasonal frozen ground,Grassland,AM,0.471015788,2.95812,HWC
Seasonal frozen ground,Grassland,AM,0.281397022,1.9116,LW
Seasonal frozen ground,Grassland,AM,0.253270142,1.79172,LW
Seasonal frozen ground,Grassland,AM,0.191786248,1.5552,LW
Seasonal frozen ground,Grassland,AM,0.269456903,1.85976,JP
Seasonal frozen ground,Grassland,AM,0.224035553,1.67508,JP
Seasonal frozen ground,Grassland,AM,0.136885378,1.37052,JP
Seasonal frozen ground,Grassland,AM,0.348764232,2.23236,JM
Seasonal frozen ground,Grassland,AM,0.338560074,2.18052,JM
Seasonal frozen ground,Grassland,AM,0.224035553,1.67508,JM
Seasonal frozen ground,Grassland,AM,0.687503991,4.86972,SB
Seasonal frozen ground,Grassland,AM,0.652934476,4.49712,SB
Seasonal frozen ground,Grassland,AM,0.597260674,3.95604,SB
Seasonal frozen ground,Grassland,AM,0.681393214,4.80168,BQ
Seasonal frozen ground,Grassland,AM,0.583896713,3.83616,BQ
Seasonal frozen ground,Grassland,AM,0.426472222,2.66976,BQ
Seasonal frozen ground,Forest,EcM,1.309223784,20.38092,BH-Z
Seasonal frozen ground,Forest,EcM,1.050091162,11.22254,BH-YS
Seasonal frozen ground,Grassland,AM,1.094198517,12.4222,YC
Seasonal frozen ground,Grassland,AM,0.917362647,8.26728,YC
Seasonal frozen ground,Grassland,AM,-0.016879105,0.96188,CYZC
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,AM,-0.003488328,0.992,CYZC
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,EcM,,,
Seasonal frozen ground,Grassland,AM,0.92867232,8.4854,YC
Seasonal frozen ground,Wetland,AM,1.007863802,10.18272,XYTM
Seasonal frozen ground,Wetland,AM,0.979045504,9.52896,XYTM
Seasonal frozen ground,Wetland,AM,1.007476366,10.17364,XYTM
Seasonal frozen ground,Grassland,AM,0.565375503,3.676,YC
Seasonal frozen ground,Grassland,AM,0.51054501,3.24,YC
Seasonal frozen ground,Grassland,AM,0.441852176,2.766,YC
Seasonal frozen ground,Grassland,AM,0.903159469,8.00128,YC
Seasonal frozen ground,Grassland,AM,0.916803349,8.25664,YC
Seasonal frozen ground,Grassland,AM,0.889073007,7.74592,YC
Seasonal frozen ground,Grassland,AM,0.970559786,9.34458,YC
Seasonal frozen ground,Grassland,AM,0.889073007,7.74592,YC
Seasonal frozen ground,Grassland,AM,0.916803349,8.25664,YC
Seasonal frozen ground,Grassland,AM,0.958526615,9.08922,YC
Seasonal frozen ground,Grassland,AM,0.788493617,6.1446,XXC
Seasonal frozen ground,Grassland,AM,0.80617726,6.39996,XXC
Seasonal frozen ground,Grassland,AM,0.750807592,5.63388,XXC
Seasonal frozen ground,Grassland,AM,0.750807592,5.63388,XXC
Seasonal frozen ground,Grassland,AM,0.765325751,5.8254,XXC
Seasonal frozen ground,Grassland,AM,0.745858314,5.57004,XXC
Seasonal frozen ground,Grassland,AM,0.801823394,6.33612,XXC
Seasonal frozen ground,Wetland,NM,1.29578694,19.76,XYZ
Seasonal frozen ground,Wetland,EcM,1.156609718,14.342,CH
Seasonal frozen ground,Wetland,EcM,1.233909453,17.136,CH
Seasonal frozen ground,Wetland,EcM,1.28546729,19.296,CH
Seasonal frozen ground,Wetland,NM,1.285647309,19.304,XYZ
Seasonal frozen ground,Wetland,EcM,1.162862993,14.55,YL
Seasonal frozen ground,Wetland,EcM,1.240549248,17.4,YL
Seasonal frozen ground,Wetland,EcM,1.270119599,18.626,YL
Seasonal frozen ground,Grassland,NM,1.123417129,13.2867,XYZ
Seasonal frozen ground,Grassland,NM,1.230127936,16.98744,XYZ
Seasonal frozen ground,Grassland,NM,1.312118939,20.51724,XYZ
Seasonal frozen ground,Grassland,NM,1.123417129,13.2867,XYZ
Seasonal frozen ground,Grassland,NM,1.230127936,16.98744,XYZ
Seasonal frozen ground,Grassland,NM,1.312118939,20.51724,XYZ
Seasonal frozen ground,Grassland,NM,1.123417129,13.2867,XYZ
Seasonal frozen ground,Grassland,NM,1.230071176,16.98522,XYZ
Seasonal frozen ground,Grassland,NM,1.312118939,20.51724,XYZ
Seasonal frozen ground,Grassland,NM,0.834339306,6.82872,XYZ
Seasonal frozen ground,Grassland,NM,0.965237459,9.23076,XYZ
Seasonal frozen ground,Grassland,NM,1.173851483,14.92284,XYZ
Seasonal frozen ground,Grassland,NM,0.850143658,7.0818,XYZ
Seasonal frozen ground,Grassland,NM,0.988421602,9.73692,XYZ
Seasonal frozen ground,Grassland,NM,1.195342181,15.67986,XYZ
Seasonal frozen ground,Grassland,NM,0.857835263,7.20834,XYZ
Seasonal frozen ground,Grassland,NM,0.988421602,9.73692,XYZ
Seasonal frozen ground,Grassland,NM,1.195342181,15.67986,XYZ
Seasonal frozen ground,Wetland,AM,1.951196812,89.37104,XP-TC
Seasonal frozen ground,Wetland,AM,1.951196812,89.37104,XP-TC
Seasonal frozen ground,Wetland,AM,2.004445882,101.02896,XP-TC
Seasonal frozen ground,Wetland,AM,1.989142855,97.53104,XP-TC
